"model","dgp","rmse","coverage","mean_ci_length"
"BART_ps-bart","dgp29",0.430222538024638,0.94,1.52838583733001
"BART_ps-bart","dgp30",0.494084037212788,0.94,1.86287398901805
"BART_ps-bart","dgp31",0.404676088470511,0.95,1.6113598002796
"BART_ps-bart","dgp32",0.324493037077747,0.97,1.37357081835856
"BART_ps-bart","dgp37",0.203815505436831,0.97,0.806268619836713
"BART_ps-bart","dgp38",0.146591673053825,0.99,0.589442718355644
"BART_ps-bart","dgp39",0.363178990700295,0.77,0.958052291247837
"BART_ps-bart","dgp40",0.141573886511773,0.96,0.542644523068197
"BART_ps-bart","dgp57",0.0863653953301085,0.94,0.356562354878863
"BART_ps-bart","dgp58",0.109763250370435,0.94,0.39744630461572
"BART_ps-bart","dgp59",0.0877980250293182,0.96,0.379135065953054
"BART_ps-bart","dgp60",0.0898875858412914,0.9,0.304825874606531
"BART_ps-bart","dgp61",0.176683257048386,0.98,0.840235171436018
"BART_ps-bart","dgp62",0.210192635937975,0.95,0.879712193886221
"BART_ps-bart","dgp63",0.257005547541628,0.94,0.983476081042738
"BART_ps-bart","dgp64",0.16625913624238,0.93,0.628227167423127
"BART_ps-glm","dgp29",0.435394111021559,0.92,1.52455480377304
"BART_ps-glm","dgp30",0.577836462943152,0.86,1.81221903835503
"BART_ps-glm","dgp31",0.392584762576951,0.95,1.59850320046177
"BART_ps-glm","dgp32",0.314660042828829,0.99,1.33742721732208
"BART_ps-glm","dgp37",0.207203127444572,0.95,0.794837750635685
"BART_ps-glm","dgp38",0.14328108799441,0.98,0.574392403672441
"BART_ps-glm","dgp39",0.348026189702127,0.81,0.947609774235432
"BART_ps-glm","dgp40",0.141899749360438,0.95,0.538004532599859
"BART_ps-glm","dgp57",0.084859359158626,0.95,0.355076872262503
"BART_ps-glm","dgp58",0.109225037358016,0.92,0.393960787064167
"BART_ps-glm","dgp59",0.0875478241326856,0.98,0.375114691559452
"BART_ps-glm","dgp60",0.0898500655919328,0.9,0.303846734142465
"BART_ps-glm","dgp61",0.176721969451736,0.98,0.834158929683275
"BART_ps-glm","dgp62",0.209947366044037,0.96,0.870420567370915
"BART_ps-glm","dgp63",0.250962829820097,0.94,0.969840019973986
"BART_ps-glm","dgp64",0.160762265106215,0.93,0.619616524137112
"BART_s-learner","dgp29",0.436651247519949,0.9,1.51958503221147
