"","dgp","metric","model","iteration","k","n_trees","value"
"ate_estimate","dgp30","ate_estimate","bart_ps-bart",19,1,75,10.5077817686468
"ate_bias","dgp30","ate_bias","bart_ps-bart",19,1,75,0.50778176864684
"ci_length","dgp30","ci_length","bart_ps-bart",19,1,75,1.81904343545694
"is_covered","dgp30","coverage","bart_ps-bart",19,1,75,1
"ate_estimate1","dgp30","ate_estimate","bart_ps-bart",19,2,75,10.6162878306147
"ate_bias1","dgp30","ate_bias","bart_ps-bart",19,2,75,0.616287830614665
"ci_length1","dgp30","ci_length","bart_ps-bart",19,2,75,1.77132757116407
"is_covered1","dgp30","coverage","bart_ps-bart",19,2,75,1
"ate_estimate2","dgp30","ate_estimate","bart_ps-bart",19,3,75,10.6662225534409
"ate_bias2","dgp30","ate_bias","bart_ps-bart",19,3,75,0.666222553440853
"ci_length2","dgp30","ci_length","bart_ps-bart",19,3,75,1.7859819745043
"is_covered2","dgp30","coverage","bart_ps-bart",19,3,75,1
"ate_estimate3","dgp30","ate_estimate","bart_ps-bart",19,5,75,10.6642734882203
"ate_bias3","dgp30","ate_bias","bart_ps-bart",19,5,75,0.664273488220299
"ci_length3","dgp30","ci_length","bart_ps-bart",19,5,75,1.77363916242729
"is_covered3","dgp30","coverage","bart_ps-bart",19,5,75,1
"ate_estimate4","dgp30","ate_estimate","bart_ps-bart",19,1,100,10.6200103959077
"ate_bias4","dgp30","ate_bias","bart_ps-bart",19,1,100,0.620010395907666
"ci_length4","dgp30","ci_length","bart_ps-bart",19,1,100,1.8603140858285
"is_covered4","dgp30","coverage","bart_ps-bart",19,1,100,1
"ate_estimate5","dgp30","ate_estimate","bart_ps-bart",19,2,100,10.6409049405122
"ate_bias5","dgp30","ate_bias","bart_ps-bart",19,2,100,0.640904940512184
"ci_length5","dgp30","ci_length","bart_ps-bart",19,2,100,1.81866036674253
"is_covered5","dgp30","coverage","bart_ps-bart",19,2,100,1
"ate_estimate6","dgp30","ate_estimate","bart_ps-bart",19,3,100,10.719729374834
"ate_bias6","dgp30","ate_bias","bart_ps-bart",19,3,100,0.719729374834003
"ci_length6","dgp30","ci_length","bart_ps-bart",19,3,100,1.78423377236602
"is_covered6","dgp30","coverage","bart_ps-bart",19,3,100,1
"ate_estimate7","dgp30","ate_estimate","bart_ps-bart",19,5,100,10.6713203757783
"ate_bias7","dgp30","ate_bias","bart_ps-bart",19,5,100,0.671320375778311
"ci_length7","dgp30","ci_length","bart_ps-bart",19,5,100,1.71608054913472
"is_covered7","dgp30","coverage","bart_ps-bart",19,5,100,1
"ate_estimate8","dgp30","ate_estimate","bart_ps-bart",19,1,200,10.5038781251607
"ate_bias8","dgp30","ate_bias","bart_ps-bart",19,1,200,0.503878125160703
"ci_length8","dgp30","ci_length","bart_ps-bart",19,1,200,1.89491568911619
"is_covered8","dgp30","coverage","bart_ps-bart",19,1,200,1
"ate_estimate9","dgp30","ate_estimate","bart_ps-bart",19,2,200,10.5992612422354
"ate_bias9","dgp30","ate_bias","bart_ps-bart",19,2,200,0.599261242235356
"ci_length9","dgp30","ci_length","bart_ps-bart",19,2,200,1.81034302441797
"is_covered9","dgp30","coverage","bart_ps-bart",19,2,200,1
"ate_estimate10","dgp30","ate_estimate","bart_ps-bart",19,3,200,10.6024010060119
"ate_bias10","dgp30","ate_bias","bart_ps-bart",19,3,200,0.602401006011895
"ci_length10","dgp30","ci_length","bart_ps-bart",19,3,200,1.77512429649012
"is_covered10","dgp30","coverage","bart_ps-bart",19,3,200,1
"ate_estimate11","dgp30","ate_estimate","bart_ps-bart",19,5,200,10.6343615307085
"ate_bias11","dgp30","ate_bias","bart_ps-bart",19,5,200,0.634361530708523
"ci_length11","dgp30","ci_length","bart_ps-bart",19,5,200,1.80241842282523
"is_covered11","dgp30","coverage","bart_ps-bart",19,5,200,1
"ate_estimate12","dgp30","ate_estimate","bart_ps-bart",20,1,75,9.8421965378797
"ate_bias12","dgp30","ate_bias","bart_ps-bart",20,1,75,-0.157803462120301
"ci_length12","dgp30","ci_length","bart_ps-bart",20,1,75,1.76126196385872
"is_covered12","dgp30","coverage","bart_ps-bart",20,1,75,1
"ate_estimate13","dgp30","ate_estimate","bart_ps-bart",20,2,75,9.85857154906776
"ate_bias13","dgp30","ate_bias","bart_ps-bart",20,2,75,-0.141428450932242
"ci_length13","dgp30","ci_length","bart_ps-bart",20,2,75,1.80203187212519
"is_covered13","dgp30","coverage","bart_ps-bart",20,2,75,1
"ate_estimate14","dgp30","ate_estimate","bart_ps-bart",20,3,75,9.79304001819399
"ate_bias14","dgp30","ate_bias","bart_ps-bart",20,3,75,-0.206959981806008
"ci_length14","dgp30","ci_length","bart_ps-bart",20,3,75,1.81443754957783
"is_covered14","dgp30","coverage","bart_ps-bart",20,3,75,1
"ate_estimate15","dgp30","ate_estimate","bart_ps-bart",20,5,75,9.83156542280272
"ate_bias15","dgp30","ate_bias","bart_ps-bart",20,5,75,-0.168434577197283
"ci_length15","dgp30","ci_length","bart_ps-bart",20,5,75,1.80556639977917
"is_covered15","dgp30","coverage","bart_ps-bart",20,5,75,1
"ate_estimate16","dgp30","ate_estimate","bart_ps-bart",20,1,100,9.83051229707286
"ate_bias16","dgp30","ate_bias","bart_ps-bart",20,1,100,-0.169487702927144
"ci_length16","dgp30","ci_length","bart_ps-bart",20,1,100,1.8218150495398
"is_covered16","dgp30","coverage","bart_ps-bart",20,1,100,1
"ate_estimate17","dgp30","ate_estimate","bart_ps-bart",20,2,100,9.75079756046416
"ate_bias17","dgp30","ate_bias","bart_ps-bart",20,2,100,-0.249202439535836
"ci_length17","dgp30","ci_length","bart_ps-bart",20,2,100,1.91921707430842
"is_covered17","dgp30","coverage","bart_ps-bart",20,2,100,1
"ate_estimate18","dgp30","ate_estimate","bart_ps-bart",20,3,100,9.84944727862857
"ate_bias18","dgp30","ate_bias","bart_ps-bart",20,3,100,-0.150552721371428
"ci_length18","dgp30","ci_length","bart_ps-bart",20,3,100,1.84404354281247
"is_covered18","dgp30","coverage","bart_ps-bart",20,3,100,1
"ate_estimate19","dgp30","ate_estimate","bart_ps-bart",20,5,100,9.91471090239279
"ate_bias19","dgp30","ate_bias","bart_ps-bart",20,5,100,-0.0852890976072072
