"dgp","metric","model","iteration","k","n_trees","value"
"dgp30","ate_estimate","bart_ps-glm",1,1,75,10.6460818191924
"dgp30","ate_bias","bart_ps-glm",1,1,75,0.646081819192371
"dgp30","ci_length","bart_ps-glm",1,1,75,1.84169694323097
"dgp30","coverage","bart_ps-glm",1,1,75,1
"dgp30","ate_estimate","bart_ps-glm",1,2,75,10.7996751426752
"dgp30","ate_bias","bart_ps-glm",1,2,75,0.799675142675179
"dgp30","ci_length","bart_ps-glm",1,2,75,1.99443463323922
"dgp30","coverage","bart_ps-glm",1,2,75,1
"dgp30","ate_estimate","bart_ps-glm",1,3,75,10.7823951922341
"dgp30","ate_bias","bart_ps-glm",1,3,75,0.782395192234103
"dgp30","ci_length","bart_ps-glm",1,3,75,1.86512076371375
"dgp30","coverage","bart_ps-glm",1,3,75,1
"dgp30","ate_estimate","bart_ps-glm",1,5,75,10.8323838208725
"dgp30","ate_bias","bart_ps-glm",1,5,75,0.832383820872455
"dgp30","ci_length","bart_ps-glm",1,5,75,1.91896662162093
"dgp30","coverage","bart_ps-glm",1,5,75,1
"dgp30","ate_estimate","bart_ps-glm",1,1,100,10.6918780808396
"dgp30","ate_bias","bart_ps-glm",1,1,100,0.691878080839578
"dgp30","ci_length","bart_ps-glm",1,1,100,1.9077791721863
"dgp30","coverage","bart_ps-glm",1,1,100,1
"dgp30","ate_estimate","bart_ps-glm",1,2,100,10.7681214212131
"dgp30","ate_bias","bart_ps-glm",1,2,100,0.768121421213133
"dgp30","ci_length","bart_ps-glm",1,2,100,1.95690097962273
"dgp30","coverage","bart_ps-glm",1,2,100,1
"dgp30","ate_estimate","bart_ps-glm",1,3,100,10.8081242769069
"dgp30","ate_bias","bart_ps-glm",1,3,100,0.808124276906884
"dgp30","ci_length","bart_ps-glm",1,3,100,1.9482994894428
"dgp30","coverage","bart_ps-glm",1,3,100,1
"dgp30","ate_estimate","bart_ps-glm",1,5,100,10.8692078801431
"dgp30","ate_bias","bart_ps-glm",1,5,100,0.869207880143067
"dgp30","ci_length","bart_ps-glm",1,5,100,1.87602406754472
"dgp30","coverage","bart_ps-glm",1,5,100,1
"dgp30","ate_estimate","bart_ps-glm",1,1,200,10.6790006740534
"dgp30","ate_bias","bart_ps-glm",1,1,200,0.679000674053423
"dgp30","ci_length","bart_ps-glm",1,1,200,1.84615581678796
"dgp30","coverage","bart_ps-glm",1,1,200,1
"dgp30","ate_estimate","bart_ps-glm",1,2,200,10.7276113674994
"dgp30","ate_bias","bart_ps-glm",1,2,200,0.727611367499369
"dgp30","ci_length","bart_ps-glm",1,2,200,1.87364153007311
"dgp30","coverage","bart_ps-glm",1,2,200,1
"dgp30","ate_estimate","bart_ps-glm",1,3,200,10.8268193158268
