"dgp","metric","model","iteration","k","n_trees","value"
"dgp30","ate_estimate","bart_s-learner",1,1,75,10.685144344923
"dgp30","ate_bias","bart_s-learner",1,1,75,0.685144344922996
"dgp30","ci_length","bart_s-learner",1,1,75,1.8366158569032
"dgp30","coverage","bart_s-learner",1,1,75,1
"dgp30","ate_estimate","bart_s-learner",1,2,75,10.7278670172506
"dgp30","ate_bias","bart_s-learner",1,2,75,0.727867017250642
"dgp30","ci_length","bart_s-learner",1,2,75,1.88603950904034
"dgp30","coverage","bart_s-learner",1,2,75,1
"dgp30","ate_estimate","bart_s-learner",1,3,75,10.7599657919832
"dgp30","ate_bias","bart_s-learner",1,3,75,0.759965791983207
"dgp30","ci_length","bart_s-learner",1,3,75,1.94807787042104
"dgp30","coverage","bart_s-learner",1,3,75,1
"dgp30","ate_estimate","bart_s-learner",1,5,75,10.79898246822
"dgp30","ate_bias","bart_s-learner",1,5,75,0.798982468219952
"dgp30","ci_length","bart_s-learner",1,5,75,1.8728072995639
"dgp30","coverage","bart_s-learner",1,5,75,1
"dgp30","ate_estimate","bart_s-learner",1,1,100,10.6453577976087
"dgp30","ate_bias","bart_s-learner",1,1,100,0.645357797608682
"dgp30","ci_length","bart_s-learner",1,1,100,1.88816136673874
"dgp30","coverage","bart_s-learner",1,1,100,1
"dgp30","ate_estimate","bart_s-learner",1,2,100,10.6817123292266
"dgp30","ate_bias","bart_s-learner",1,2,100,0.681712329226631
"dgp30","ci_length","bart_s-learner",1,2,100,1.84644701940856
"dgp30","coverage","bart_s-learner",1,2,100,1
"dgp30","ate_estimate","bart_s-learner",1,3,100,10.7107020286388
"dgp30","ate_bias","bart_s-learner",1,3,100,0.710702028638796
"dgp30","ci_length","bart_s-learner",1,3,100,1.91752769202708
"dgp30","coverage","bart_s-learner",1,3,100,1
"dgp30","ate_estimate","bart_s-learner",1,5,100,10.8394837801924
"dgp30","ate_bias","bart_s-learner",1,5,100,0.839483780192412
"dgp30","ci_length","bart_s-learner",1,5,100,1.93951798170593
"dgp30","coverage","bart_s-learner",1,5,100,1
"dgp30","ate_estimate","bart_s-learner",1,1,200,10.6854888253217
"dgp30","ate_bias","bart_s-learner",1,1,200,0.685488825321682
"dgp30","ci_length","bart_s-learner",1,1,200,1.92843851551232
"dgp30","coverage","bart_s-learner",1,1,200,1
"dgp30","ate_estimate","bart_s-learner",1,2,200,10.7471788831633
"dgp30","ate_bias","bart_s-learner",1,2,200,0.747178883163286
"dgp30","ci_length","bart_s-learner",1,2,200,1.92483704467163
"dgp30","coverage","bart_s-learner",1,2,200,1
"dgp30","ate_estimate","bart_s-learner",1,3,200,10.7755803522248
"dgp30","ate_bias","bart_s-learner",1,3,200,0.775580352224845
"dgp30","ci_length","bart_s-learner",1,3,200,1.89437430614865
"dgp30","coverage","bart_s-learner",1,3,200,1
"dgp30","ate_estimate","bart_s-learner",1,5,200,10.9105686151518
"dgp30","ate_bias","bart_s-learner",1,5,200,0.910568615151782
"dgp30","ci_length","bart_s-learner",1,5,200,1.88821323780786
"dgp30","coverage","bart_s-learner",1,5,200,1
"dgp30","ate_estimate","bart_s-learner",2,1,75,9.81932702358397
"dgp30","ate_bias","bart_s-learner",2,1,75,-0.18067297641603
"dgp30","ci_length","bart_s-learner",2,1,75,1.82542315957864
"dgp30","coverage","bart_s-learner",2,1,75,1
"dgp30","ate_estimate","bart_s-learner",2,2,75,9.83199748950915
"dgp30","ate_bias","bart_s-learner",2,2,75,-0.168002510490846
"dgp30","ci_length","bart_s-learner",2,2,75,1.79638981250488
"dgp30","coverage","bart_s-learner",2,2,75,1
"dgp30","ate_estimate","bart_s-learner",2,3,75,9.81998310855175
"dgp30","ate_bias","bart_s-learner",2,3,75,-0.180016891448254
"dgp30","ci_length","bart_s-learner",2,3,75,1.78574557779161
"dgp30","coverage","bart_s-learner",2,3,75,1
"dgp30","ate_estimate","bart_s-learner",2,5,75,9.88579123428153
"dgp30","ate_bias","bart_s-learner",2,5,75,-0.114208765718466
"dgp30","ci_length","bart_s-learner",2,5,75,1.80964335126209
"dgp30","coverage","bart_s-learner",2,5,75,1
"dgp30","ate_estimate","bart_s-learner",2,1,100,9.79933316938363
"dgp30","ate_bias","bart_s-learner",2,1,100,-0.200666830616369
"dgp30","ci_length","bart_s-learner",2,1,100,1.80368325731679
"dgp30","coverage","bart_s-learner",2,1,100,1
"dgp30","ate_estimate","bart_s-learner",2,2,100,9.7728170300689
"dgp30","ate_bias","bart_s-learner",2,2,100,-0.227182969931102
"dgp30","ci_length","bart_s-learner",2,2,100,1.80252767516164
"dgp30","coverage","bart_s-learner",2,2,100,1
"dgp30","ate_estimate","bart_s-learner",2,3,100,9.79721826856263
"dgp30","ate_bias","bart_s-learner",2,3,100,-0.202781731437375
"dgp30","ci_length","bart_s-learner",2,3,100,1.82987006216228
"dgp30","coverage","bart_s-learner",2,3,100,1
"dgp30","ate_estimate","bart_s-learner",2,5,100,9.8937088886998
"dgp30","ate_bias","bart_s-learner",2,5,100,-0.106291111300202
"dgp30","ci_length","bart_s-learner",2,5,100,1.7848966037928
"dgp30","coverage","bart_s-learner",2,5,100,1
"dgp30","ate_estimate","bart_s-learner",2,1,200,9.71600245383686
"dgp30","ate_bias","bart_s-learner",2,1,200,-0.283997546163135
"dgp30","ci_length","bart_s-learner",2,1,200,1.81137043389109
"dgp30","coverage","bart_s-learner",2,1,200,1
"dgp30","ate_estimate","bart_s-learner",2,2,200,9.74108717883888
"dgp30","ate_bias","bart_s-learner",2,2,200,-0.25891282116112
"dgp30","ci_length","bart_s-learner",2,2,200,1.80797309090359
"dgp30","coverage","bart_s-learner",2,2,200,1
"dgp30","ate_estimate","bart_s-learner",2,3,200,9.77067060617037
