"","dgp","metric","model","iteration","k","n_trees","value"
"ate_estimate","dgp60","ate_estimate","bart_s-learner",1,1,75,1.66191474834185
"ate_bias","dgp60","ate_bias","bart_s-learner",1,1,75,-0.0243335631943524
"ci_length","dgp60","ci_length","bart_s-learner",1,1,75,0.323312219880342
"is_covered","dgp60","coverage","bart_s-learner",1,1,75,1
"ate_estimate1","dgp60","ate_estimate","bart_s-learner",1,2,75,1.64781982829214
"ate_bias1","dgp60","ate_bias","bart_s-learner",1,2,75,-0.0384284832440622
"ci_length1","dgp60","ci_length","bart_s-learner",1,2,75,0.319432830568837
"is_covered1","dgp60","coverage","bart_s-learner",1,2,75,1
"ate_estimate2","dgp60","ate_estimate","bart_s-learner",1,3,75,1.62041153566659
"ate_bias2","dgp60","ate_bias","bart_s-learner",1,3,75,-0.0658367758696141
"ci_length2","dgp60","ci_length","bart_s-learner",1,3,75,0.321325750042592
"is_covered2","dgp60","coverage","bart_s-learner",1,3,75,1
"ate_estimate3","dgp60","ate_estimate","bart_s-learner",1,5,75,1.56610505375515
"ate_bias3","dgp60","ate_bias","bart_s-learner",1,5,75,-0.12014325778105
"ci_length3","dgp60","ci_length","bart_s-learner",1,5,75,0.317567033091829
"is_covered3","dgp60","coverage","bart_s-learner",1,5,75,1
"ate_estimate4","dgp60","ate_estimate","bart_s-learner",1,1,100,1.66869336625738
"ate_bias4","dgp60","ate_bias","bart_s-learner",1,1,100,-0.0175549452788208
"ci_length4","dgp60","ci_length","bart_s-learner",1,1,100,0.323848294386793
"is_covered4","dgp60","coverage","bart_s-learner",1,1,100,1
"ate_estimate5","dgp60","ate_estimate","bart_s-learner",1,2,100,1.64525380212298
"ate_bias5","dgp60","ate_bias","bart_s-learner",1,2,100,-0.04099450941322
"ci_length5","dgp60","ci_length","bart_s-learner",1,2,100,0.313863578483555
"is_covered5","dgp60","coverage","bart_s-learner",1,2,100,1
"ate_estimate6","dgp60","ate_estimate","bart_s-learner",1,3,100,1.61939437833723
"ate_bias6","dgp60","ate_bias","bart_s-learner",1,3,100,-0.0668539331989699
"ci_length6","dgp60","ci_length","bart_s-learner",1,3,100,0.314937611438503
"is_covered6","dgp60","coverage","bart_s-learner",1,3,100,1
"ate_estimate7","dgp60","ate_estimate","bart_s-learner",1,5,100,1.55612709904856
"ate_bias7","dgp60","ate_bias","bart_s-learner",1,5,100,-0.130121212487642
"ci_length7","dgp60","ci_length","bart_s-learner",1,5,100,0.315911411119528
"is_covered7","dgp60","coverage","bart_s-learner",1,5,100,1
"ate_estimate8","dgp60","ate_estimate","bart_s-learner",1,1,200,1.67922861993262
"ate_bias8","dgp60","ate_bias","bart_s-learner",1,1,200,-0.00701969160358362
"ci_length8","dgp60","ci_length","bart_s-learner",1,1,200,0.334314048210299
"is_covered8","dgp60","coverage","bart_s-learner",1,1,200,1
"ate_estimate9","dgp60","ate_estimate","bart_s-learner",1,2,200,1.64330235216867
"ate_bias9","dgp60","ate_bias","bart_s-learner",1,2,200,-0.0429459593675345
"ci_length9","dgp60","ci_length","bart_s-learner",1,2,200,0.323029061046275
"is_covered9","dgp60","coverage","bart_s-learner",1,2,200,1
"ate_estimate10","dgp60","ate_estimate","bart_s-learner",1,3,200,1.60973691038166
"ate_bias10","dgp60","ate_bias","bart_s-learner",1,3,200,-0.0765114011545385
"ci_length10","dgp60","ci_length","bart_s-learner",1,3,200,0.312217013871571
"is_covered10","dgp60","coverage","bart_s-learner",1,3,200,1
"ate_estimate11","dgp60","ate_estimate","bart_s-learner",1,5,200,1.53159815629284
"ate_bias11","dgp60","ate_bias","bart_s-learner",1,5,200,-0.154650155243364
"ci_length11","dgp60","ci_length","bart_s-learner",1,5,200,0.316170241930142
"is_covered11","dgp60","coverage","bart_s-learner",1,5,200,1
"ate_estimate12","dgp60","ate_estimate","bart_s-learner",2,1,75,1.72391804621308
"ate_bias12","dgp60","ate_bias","bart_s-learner",2,1,75,0.0376697346768815
"ci_length12","dgp60","ci_length","bart_s-learner",2,1,75,0.294640097225255
"is_covered12","dgp60","coverage","bart_s-learner",2,1,75,1
"ate_estimate13","dgp60","ate_estimate","bart_s-learner",2,2,75,1.69966912746126
"ate_bias13","dgp60","ate_bias","bart_s-learner",2,2,75,0.0134208159250631
"ci_length13","dgp60","ci_length","bart_s-learner",2,2,75,0.301949134074295
"is_covered13","dgp60","coverage","bart_s-learner",2,2,75,1
"ate_estimate14","dgp60","ate_estimate","bart_s-learner",2,3,75,1.67007420403999
"ate_bias14","dgp60","ate_bias","bart_s-learner",2,3,75,-0.016174107496209
"ci_length14","dgp60","ci_length","bart_s-learner",2,3,75,0.296492384140049
"is_covered14","dgp60","coverage","bart_s-learner",2,3,75,1
"ate_estimate15","dgp60","ate_estimate","bart_s-learner",2,5,75,1.61546330513796
"ate_bias15","dgp60","ate_bias","bart_s-learner",2,5,75,-0.0707850063982378
"ci_length15","dgp60","ci_length","bart_s-learner",2,5,75,0.291984859329617
"is_covered15","dgp60","coverage","bart_s-learner",2,5,75,1
"ate_estimate16","dgp60","ate_estimate","bart_s-learner",2,1,100,1.72078071623285
"ate_bias16","dgp60","ate_bias","bart_s-learner",2,1,100,0.0345324046966506
"ci_length16","dgp60","ci_length","bart_s-learner",2,1,100,0.304399412704341
"is_covered16","dgp60","coverage","bart_s-learner",2,1,100,1
"ate_estimate17","dgp60","ate_estimate","bart_s-learner",2,2,100,1.69915367202952
"ate_bias17","dgp60","ate_bias","bart_s-learner",2,2,100,0.0129053604933205
"ci_length17","dgp60","ci_length","bart_s-learner",2,2,100,0.294625887487054
"is_covered17","dgp60","coverage","bart_s-learner",2,2,100,1
"ate_estimate18","dgp60","ate_estimate","bart_s-learner",2,3,100,1.66624463088073
"ate_bias18","dgp60","ate_bias","bart_s-learner",2,3,100,-0.0200036806554718
"ci_length18","dgp60","ci_length","bart_s-learner",2,3,100,0.299113389973939
"is_covered18","dgp60","coverage","bart_s-learner",2,3,100,1
"ate_estimate19","dgp60","ate_estimate","bart_s-learner",2,5,100,1.60355022189757
"ate_bias19","dgp60","ate_bias","bart_s-learner",2,5,100,-0.0826980896386256
"ci_length19","dgp60","ci_length","bart_s-learner",2,5,100,0.290977786020083
"is_covered19","dgp60","coverage","bart_s-learner",2,5,100,1
"ate_estimate20","dgp60","ate_estimate","bart_s-learner",2,1,200,1.73268996639293
"ate_bias20","dgp60","ate_bias","bart_s-learner",2,1,200,0.0464416548567295
"ci_length20","dgp60","ci_length","bart_s-learner",2,1,200,0.312324151300878
"is_covered20","dgp60","coverage","bart_s-learner",2,1,200,1
"ate_estimate21","dgp60","ate_estimate","bart_s-learner",2,2,200,1.68983589587416
"ate_bias21","dgp60","ate_bias","bart_s-learner",2,2,200,0.00358758433796047
"ci_length21","dgp60","ci_length","bart_s-learner",2,2,200,0.303001765085667
"is_covered21","dgp60","coverage","bart_s-learner",2,2,200,1
"ate_estimate22","dgp60","ate_estimate","bart_s-learner",2,3,200,1.65151028444192
"ate_bias22","dgp60","ate_bias","bart_s-learner",2,3,200,-0.034738027094277
"ci_length22","dgp60","ci_length","bart_s-learner",2,3,200,0.295735002071413
"is_covered22","dgp60","coverage","bart_s-learner",2,3,200,1
"ate_estimate23","dgp60","ate_estimate","bart_s-learner",2,5,200,1.57611900589991
"ate_bias23","dgp60","ate_bias","bart_s-learner",2,5,200,-0.110129305636288
"ci_length23","dgp60","ci_length","bart_s-learner",2,5,200,0.291039942851348
"is_covered23","dgp60","coverage","bart_s-learner",2,5,200,1
"ate_estimate24","dgp60","ate_estimate","bart_s-learner",3,1,75,1.79236090623605
"ate_bias24","dgp60","ate_bias","bart_s-learner",3,1,75,0.10611259469985
"ci_length24","dgp60","ci_length","bart_s-learner",3,1,75,0.297865903008931
"is_covered24","dgp60","coverage","bart_s-learner",3,1,75,1
"ate_estimate25","dgp60","ate_estimate","bart_s-learner",3,2,75,1.76767976400265
"ate_bias25","dgp60","ate_bias","bart_s-learner",3,2,75,0.0814314524664461
"ci_length25","dgp60","ci_length","bart_s-learner",3,2,75,0.295514063323931
"is_covered25","dgp60","coverage","bart_s-learner",3,2,75,1
"ate_estimate26","dgp60","ate_estimate","bart_s-learner",3,3,75,1.74072937919077
"ate_bias26","dgp60","ate_bias","bart_s-learner",3,3,75,0.0544810676545744
"ci_length26","dgp60","ci_length","bart_s-learner",3,3,75,0.297476627810158
"is_covered26","dgp60","coverage","bart_s-learner",3,3,75,1
"ate_estimate27","dgp60","ate_estimate","bart_s-learner",3,5,75,1.67411081497301
"ate_bias27","dgp60","ate_bias","bart_s-learner",3,5,75,-0.0121374965631862
"ci_length27","dgp60","ci_length","bart_s-learner",3,5,75,0.293015587920661
"is_covered27","dgp60","coverage","bart_s-learner",3,5,75,1
"ate_estimate28","dgp60","ate_estimate","bart_s-learner",3,1,100,1.7975778983125
"ate_bias28","dgp60","ate_bias","bart_s-learner",3,1,100,0.111329586776302
"ci_length28","dgp60","ci_length","bart_s-learner",3,1,100,0.299858165237046
"is_covered28","dgp60","coverage","bart_s-learner",3,1,100,1
"ate_estimate29","dgp60","ate_estimate","bart_s-learner",3,2,100,1.77107042376653
"ate_bias29","dgp60","ate_bias","bart_s-learner",3,2,100,0.0848221122303316
"ci_length29","dgp60","ci_length","bart_s-learner",3,2,100,0.290704522008477
"is_covered29","dgp60","coverage","bart_s-learner",3,2,100,1
"ate_estimate30","dgp60","ate_estimate","bart_s-learner",3,3,100,1.73539478618673
"ate_bias30","dgp60","ate_bias","bart_s-learner",3,3,100,0.0491464746505281
"ci_length30","dgp60","ci_length","bart_s-learner",3,3,100,0.292181718380003
"is_covered30","dgp60","coverage","bart_s-learner",3,3,100,1
"ate_estimate31","dgp60","ate_estimate","bart_s-learner",3,5,100,1.66326950164793
"ate_bias31","dgp60","ate_bias","bart_s-learner",3,5,100,-0.0229788098882711
"ci_length31","dgp60","ci_length","bart_s-learner",3,5,100,0.299076333445785
"is_covered31","dgp60","coverage","bart_s-learner",3,5,100,1
"ate_estimate32","dgp60","ate_estimate","bart_s-learner",3,1,200,1.80973514630335
"ate_bias32","dgp60","ate_bias","bart_s-learner",3,1,200,0.123486834767152
"ci_length32","dgp60","ci_length","bart_s-learner",3,1,200,0.307423743832054
"is_covered32","dgp60","coverage","bart_s-learner",3,1,200,1
"ate_estimate33","dgp60","ate_estimate","bart_s-learner",3,2,200,1.76586410915861
"ate_bias33","dgp60","ate_bias","bart_s-learner",3,2,200,0.0796157976224106
"ci_length33","dgp60","ci_length","bart_s-learner",3,2,200,0.294866615619808
"is_covered33","dgp60","coverage","bart_s-learner",3,2,200,1
"ate_estimate34","dgp60","ate_estimate","bart_s-learner",3,3,200,1.72323289557737
"ate_bias34","dgp60","ate_bias","bart_s-learner",3,3,200,0.0369845840411696
"ci_length34","dgp60","ci_length","bart_s-learner",3,3,200,0.294034003232355
"is_covered34","dgp60","coverage","bart_s-learner",3,3,200,1
"ate_estimate35","dgp60","ate_estimate","bart_s-learner",3,5,200,1.63550121159243
"ate_bias35","dgp60","ate_bias","bart_s-learner",3,5,200,-0.0507470999437676
"ci_length35","dgp60","ci_length","bart_s-learner",3,5,200,0.298434203258309
"is_covered35","dgp60","coverage","bart_s-learner",3,5,200,1
"ate_estimate36","dgp60","ate_estimate","bart_s-learner",4,1,75,1.5598077623292
"ate_bias36","dgp60","ate_bias","bart_s-learner",4,1,75,-0.126440549206999
"ci_length36","dgp60","ci_length","bart_s-learner",4,1,75,0.311506014418435
"is_covered36","dgp60","coverage","bart_s-learner",4,1,75,1
"ate_estimate37","dgp60","ate_estimate","bart_s-learner",4,2,75,1.54825031557102
"ate_bias37","dgp60","ate_bias","bart_s-learner",4,2,75,-0.137997995965182
"ci_length37","dgp60","ci_length","bart_s-learner",4,2,75,0.298400377301383
"is_covered37","dgp60","coverage","bart_s-learner",4,2,75,1
"ate_estimate38","dgp60","ate_estimate","bart_s-learner",4,3,75,1.52773095479301
"ate_bias38","dgp60","ate_bias","bart_s-learner",4,3,75,-0.158517356743191
"ci_length38","dgp60","ci_length","bart_s-learner",4,3,75,0.301588506871441
"is_covered38","dgp60","coverage","bart_s-learner",4,3,75,0
"ate_estimate39","dgp60","ate_estimate","bart_s-learner",4,5,75,1.48256011705677
"ate_bias39","dgp60","ate_bias","bart_s-learner",4,5,75,-0.203688194479435
"ci_length39","dgp60","ci_length","bart_s-learner",4,5,75,0.298226738453383
"is_covered39","dgp60","coverage","bart_s-learner",4,5,75,0
"ate_estimate40","dgp60","ate_estimate","bart_s-learner",4,1,100,1.55419879098548
"ate_bias40","dgp60","ate_bias","bart_s-learner",4,1,100,-0.132049520550721
"ci_length40","dgp60","ci_length","bart_s-learner",4,1,100,0.308707278018468
"is_covered40","dgp60","coverage","bart_s-learner",4,1,100,1
"ate_estimate41","dgp60","ate_estimate","bart_s-learner",4,2,100,1.5418656820534
"ate_bias41","dgp60","ate_bias","bart_s-learner",4,2,100,-0.144382629482804
"ci_length41","dgp60","ci_length","bart_s-learner",4,2,100,0.304061461988715
"is_covered41","dgp60","coverage","bart_s-learner",4,2,100,1
"ate_estimate42","dgp60","ate_estimate","bart_s-learner",4,3,100,1.52190181332486
"ate_bias42","dgp60","ate_bias","bart_s-learner",4,3,100,-0.164346498211337
"ci_length42","dgp60","ci_length","bart_s-learner",4,3,100,0.300014572627881
"is_covered42","dgp60","coverage","bart_s-learner",4,3,100,0
"ate_estimate43","dgp60","ate_estimate","bart_s-learner",4,5,100,1.47123096808623
"ate_bias43","dgp60","ate_bias","bart_s-learner",4,5,100,-0.215017343449968
