"dgp","metric","model","iteration","k","n_trees","value"
"dgp30","ate_estimate","bart_ps-bart",1,1,75,10.5012804779073
"dgp30","ate_bias","bart_ps-bart",1,1,75,0.501280477907315
"dgp30","ci_length","bart_ps-bart",1,1,75,1.90780284281257
"dgp30","coverage","bart_ps-bart",1,1,75,1
"dgp30","ate_estimate","bart_ps-bart",1,2,75,10.4189237146131
"dgp30","ate_bias","bart_ps-bart",1,2,75,0.418923714613122
"dgp30","ci_length","bart_ps-bart",1,2,75,1.88349286413074
"dgp30","coverage","bart_ps-bart",1,2,75,1
"dgp30","ate_estimate","bart_ps-bart",1,3,75,10.520908212081
"dgp30","ate_bias","bart_ps-bart",1,3,75,0.520908212081029
"dgp30","ci_length","bart_ps-bart",1,3,75,1.9638308743075
"dgp30","coverage","bart_ps-bart",1,3,75,1
"dgp30","ate_estimate","bart_ps-bart",1,5,75,10.5454909166851
"dgp30","ate_bias","bart_ps-bart",1,5,75,0.545490916685146
"dgp30","ci_length","bart_ps-bart",1,5,75,1.89005818820194
"dgp30","coverage","bart_ps-bart",1,5,75,1
"dgp30","ate_estimate","bart_ps-bart",1,1,100,10.5071114338934
"dgp30","ate_bias","bart_ps-bart",1,1,100,0.507111433893378
"dgp30","ci_length","bart_ps-bart",1,1,100,1.88359016761372
"dgp30","coverage","bart_ps-bart",1,1,100,1
"dgp30","ate_estimate","bart_ps-bart",1,2,100,10.4542857610558
"dgp30","ate_bias","bart_ps-bart",1,2,100,0.454285761055813
"dgp30","ci_length","bart_ps-bart",1,2,100,1.84168721834152
"dgp30","coverage","bart_ps-bart",1,2,100,1
"dgp30","ate_estimate","bart_ps-bart",1,3,100,10.5548330261789
"dgp30","ate_bias","bart_ps-bart",1,3,100,0.554833026178873
"dgp30","ci_length","bart_ps-bart",1,3,100,1.9155908054606
"dgp30","coverage","bart_ps-bart",1,3,100,1
"dgp30","ate_estimate","bart_ps-bart",1,5,100,10.6400178357446
"dgp30","ate_bias","bart_ps-bart",1,5,100,0.640017835744622
"dgp30","ci_length","bart_ps-bart",1,5,100,1.92286424167378
"dgp30","coverage","bart_ps-bart",1,5,100,1
"dgp30","ate_estimate","bart_ps-bart",1,1,200,10.5996933505503
"dgp30","ate_bias","bart_ps-bart",1,1,200,0.599693350550279
"dgp30","ci_length","bart_ps-bart",1,1,200,1.97658988364105
"dgp30","coverage","bart_ps-bart",1,1,200,1
"dgp30","ate_estimate","bart_ps-bart",1,2,200,10.5558719742542
"dgp30","ate_bias","bart_ps-bart",1,2,200,0.555871974254165
"dgp30","ci_length","bart_ps-bart",1,2,200,1.98055256843989
"dgp30","coverage","bart_ps-bart",1,2,200,1
"dgp30","ate_estimate","bart_ps-bart",1,3,200,10.5357446714523
"dgp30","ate_bias","bart_ps-bart",1,3,200,0.535744671452278
"dgp30","ci_length","bart_ps-bart",1,3,200,1.91752934543708
"dgp30","coverage","bart_ps-bart",1,3,200,1
"dgp30","ate_estimate","bart_ps-bart",1,5,200,10.6329184689967
