"dgp","metric","model","iteration","k","n_trees","value"
"dgp60","ate_estimate","bart_t-learner",1,1,75,1.71771479761859
"dgp60","ate_bias","bart_t-learner",1,1,75,0.031466486082389
"dgp60","ci_length","bart_t-learner",1,1,75,0.33695641366698
"dgp60","coverage","bart_t-learner",1,1,75,1
"dgp60","ate_estimate","bart_t-learner",1,2,75,1.67512179901016
"dgp60","ate_bias","bart_t-learner",1,2,75,-0.0111265125260447
"dgp60","ci_length","bart_t-learner",1,2,75,0.32733025445255
"dgp60","coverage","bart_t-learner",1,2,75,1
"dgp60","ate_estimate","bart_t-learner",1,3,75,1.64911594752013
"dgp60","ate_bias","bart_t-learner",1,3,75,-0.0371323640160728
"dgp60","ci_length","bart_t-learner",1,3,75,0.337927120705021
"dgp60","coverage","bart_t-learner",1,3,75,1
"dgp60","ate_estimate","bart_t-learner",1,5,75,1.61618337191749
"dgp60","ate_bias","bart_t-learner",1,5,75,-0.0700649396187083
"dgp60","ci_length","bart_t-learner",1,5,75,0.324513782621107
"dgp60","coverage","bart_t-learner",1,5,75,1
"dgp60","ate_estimate","bart_t-learner",1,1,100,1.72150651995971
"dgp60","ate_bias","bart_t-learner",1,1,100,0.0352582084235114
"dgp60","ci_length","bart_t-learner",1,1,100,0.339557712271112
"dgp60","coverage","bart_t-learner",1,1,100,1
"dgp60","ate_estimate","bart_t-learner",1,2,100,1.67413137976046
"dgp60","ate_bias","bart_t-learner",1,2,100,-0.0121169317757424
"dgp60","ci_length","bart_t-learner",1,2,100,0.340941347779305
"dgp60","coverage","bart_t-learner",1,2,100,1
"dgp60","ate_estimate","bart_t-learner",1,3,100,1.64824821006033
"dgp60","ate_bias","bart_t-learner",1,3,100,-0.0380001014758724
"dgp60","ci_length","bart_t-learner",1,3,100,0.330332937992381
"dgp60","coverage","bart_t-learner",1,3,100,1
"dgp60","ate_estimate","bart_t-learner",1,5,100,1.6152430843508
"dgp60","ate_bias","bart_t-learner",1,5,100,-0.0710052271854023
"dgp60","ci_length","bart_t-learner",1,5,100,0.332217593142859
"dgp60","coverage","bart_t-learner",1,5,100,1
"dgp60","ate_estimate","bart_t-learner",1,1,200,1.72081089020102
"dgp60","ate_bias","bart_t-learner",1,1,200,0.0345625786648232
"dgp60","ci_length","bart_t-learner",1,1,200,0.339920501681503
"dgp60","coverage","bart_t-learner",1,1,200,1
"dgp60","ate_estimate","bart_t-learner",1,2,200,1.67583690525598
"dgp60","ate_bias","bart_t-learner",1,2,200,-0.010411406280215
"dgp60","ci_length","bart_t-learner",1,2,200,0.330055811179564
"dgp60","coverage","bart_t-learner",1,2,200,1
"dgp60","ate_estimate","bart_t-learner",1,3,200,1.64706191317581
"dgp60","ate_bias","bart_t-learner",1,3,200,-0.0391863983603935
"dgp60","ci_length","bart_t-learner",1,3,200,0.327439347250268
"dgp60","coverage","bart_t-learner",1,3,200,1
"dgp60","ate_estimate","bart_t-learner",1,5,200,1.61172664097761
"dgp60","ate_bias","bart_t-learner",1,5,200,-0.074521670558592
"dgp60","ci_length","bart_t-learner",1,5,200,0.325815522705572
"dgp60","coverage","bart_t-learner",1,5,200,1
"dgp60","ate_estimate","bart_t-learner",2,1,75,1.74950039352552
"dgp60","ate_bias","bart_t-learner",2,1,75,0.0632520819893172
"dgp60","ci_length","bart_t-learner",2,1,75,0.303719172540234
"dgp60","coverage","bart_t-learner",2,1,75,1
"dgp60","ate_estimate","bart_t-learner",2,2,75,1.72423472681336
"dgp60","ate_bias","bart_t-learner",2,2,75,0.0379864152771605
"dgp60","ci_length","bart_t-learner",2,2,75,0.286975439225671
"dgp60","coverage","bart_t-learner",2,2,75,1
"dgp60","ate_estimate","bart_t-learner",2,3,75,1.70422179121252
"dgp60","ate_bias","bart_t-learner",2,3,75,0.0179734796763207
"dgp60","ci_length","bart_t-learner",2,3,75,0.289220637468826
"dgp60","coverage","bart_t-learner",2,3,75,1
"dgp60","ate_estimate","bart_t-learner",2,5,75,1.67327077527343
"dgp60","ate_bias","bart_t-learner",2,5,75,-0.0129775362627664
"dgp60","ci_length","bart_t-learner",2,5,75,0.287959576426097
"dgp60","coverage","bart_t-learner",2,5,75,1
