"dgp","metric","model","iteration","ps_model","regression_model","value"
"dgp29","ate_estimate","bart_ps-bart",1,"bart","linear_basic",4.01541602889691
"dgp29","ate_bias","bart_ps-bart",1,"bart","linear_basic",-0.0154160288969063
"dgp29","ci_length","bart_ps-bart",1,"bart","linear_basic",1.52650943732719
"dgp29","coverage","bart_ps-bart",1,"bart","linear_basic",1
"dgp29","ate_estimate","bart_ps-bart",2,"bart","linear_basic",4.19600852998104
"dgp29","ate_bias","bart_ps-bart",2,"bart","linear_basic",-0.196008529981045
"dgp29","ci_length","bart_ps-bart",2,"bart","linear_basic",1.62866950435194
"dgp29","coverage","bart_ps-bart",2,"bart","linear_basic",1
"dgp29","ate_estimate","bart_ps-bart",3,"bart","linear_basic",4.45654090605228
"dgp29","ate_bias","bart_ps-bart",3,"bart","linear_basic",-0.456540906052284
"dgp29","ci_length","bart_ps-bart",3,"bart","linear_basic",1.55025807865006
"dgp29","coverage","bart_ps-bart",3,"bart","linear_basic",1
"dgp29","ate_estimate","bart_ps-bart",4,"bart","linear_basic",3.45122347334484
"dgp29","ate_bias","bart_ps-bart",4,"bart","linear_basic",0.548776526655162
"dgp29","ci_length","bart_ps-bart",4,"bart","linear_basic",1.53631327745636
"dgp29","coverage","bart_ps-bart",4,"bart","linear_basic",1
"dgp29","ate_estimate","bart_ps-bart",5,"bart","linear_basic",4.05067677588262
"dgp29","ate_bias","bart_ps-bart",5,"bart","linear_basic",-0.0506767758826188
"dgp29","ci_length","bart_ps-bart",5,"bart","linear_basic",1.66249657668272
"dgp29","coverage","bart_ps-bart",5,"bart","linear_basic",1
"dgp29","ate_estimate","bart_ps-bart",6,"bart","linear_basic",3.62748534637247
"dgp29","ate_bias","bart_ps-bart",6,"bart","linear_basic",0.372514653627531
"dgp29","ci_length","bart_ps-bart",6,"bart","linear_basic",1.68627269842327
"dgp29","coverage","bart_ps-bart",6,"bart","linear_basic",1
"dgp29","ate_estimate","bart_ps-bart",7,"bart","linear_basic",4.58133796528354
"dgp29","ate_bias","bart_ps-bart",7,"bart","linear_basic",-0.581337965283537
"dgp29","ci_length","bart_ps-bart",7,"bart","linear_basic",1.5783487113964
"dgp29","coverage","bart_ps-bart",7,"bart","linear_basic",1
"dgp29","ate_estimate","bart_ps-bart",8,"bart","linear_basic",4.89726884376599
"dgp29","ate_bias","bart_ps-bart",8,"bart","linear_basic",-0.897268843765991
"dgp29","ci_length","bart_ps-bart",8,"bart","linear_basic",1.50372993404778
"dgp29","coverage","bart_ps-bart",8,"bart","linear_basic",0
"dgp29","ate_estimate","bart_ps-bart",9,"bart","linear_basic",4.24481321887562
"dgp29","ate_bias","bart_ps-bart",9,"bart","linear_basic",-0.244813218875617
"dgp29","ci_length","bart_ps-bart",9,"bart","linear_basic",1.62165192311712
"dgp29","coverage","bart_ps-bart",9,"bart","linear_basic",1
"dgp29","ate_estimate","bart_ps-bart",10,"bart","linear_basic",3.08678000460478
"dgp29","ate_bias","bart_ps-bart",10,"bart","linear_basic",0.913219995395224
"dgp29","ci_length","bart_ps-bart",10,"bart","linear_basic",1.59175139007605
"dgp29","coverage","bart_ps-bart",10,"bart","linear_basic",0
"dgp29","ate_estimate","bart_ps-bart",11,"bart","linear_basic",4.73542471705769
"dgp29","ate_bias","bart_ps-bart",11,"bart","linear_basic",-0.735424717057692
"dgp29","ci_length","bart_ps-bart",11,"bart","linear_basic",1.59785907108024
"dgp29","coverage","bart_ps-bart",11,"bart","linear_basic",1
"dgp29","ate_estimate","bart_ps-bart",12,"bart","linear_basic",3.77828092746581
"dgp29","ate_bias","bart_ps-bart",12,"bart","linear_basic",0.221719072534191
"dgp29","ci_length","bart_ps-bart",12,"bart","linear_basic",1.56537105165482
"dgp29","coverage","bart_ps-bart",12,"bart","linear_basic",1
"dgp29","ate_estimate","bart_ps-bart",13,"bart","linear_basic",3.48494698083223
"dgp29","ate_bias","bart_ps-bart",13,"bart","linear_basic",0.515053019167767
"dgp29","ci_length","bart_ps-bart",13,"bart","linear_basic",1.5128248325254
"dgp29","coverage","bart_ps-bart",13,"bart","linear_basic",1
"dgp29","ate_estimate","bart_ps-bart",14,"bart","linear_basic",4.02019860305596
"dgp29","ate_bias","bart_ps-bart",14,"bart","linear_basic",-0.0201986030559622
"dgp29","ci_length","bart_ps-bart",14,"bart","linear_basic",1.55640800731731
"dgp29","coverage","bart_ps-bart",14,"bart","linear_basic",1
"dgp29","ate_estimate","bart_ps-bart",15,"bart","linear_basic",4.48903380814726
"dgp29","ate_bias","bart_ps-bart",15,"bart","linear_basic",-0.489033808147258
"dgp29","ci_length","bart_ps-bart",15,"bart","linear_basic",1.52570136451834
"dgp29","coverage","bart_ps-bart",15,"bart","linear_basic",1
