"dgp","metric","model","iteration","ps_model","regression_model","value"
"dgp29","ate_estimate","weighting",1,"linear_basic","linear_basic",4.07081367263176
"dgp29","ate_bias","weighting",1,"linear_basic","linear_basic",-0.0708136726317594
"dgp29","ci_length","weighting",1,"linear_basic","linear_basic",1.57902317615036
"dgp29","coverage","weighting",1,"linear_basic","linear_basic",1
"dgp29","ate_estimate","weighting",2,"linear_basic","linear_basic",4.18735911674767
"dgp29","ate_bias","weighting",2,"linear_basic","linear_basic",-0.187359116747667
"dgp29","ci_length","weighting",2,"linear_basic","linear_basic",1.62936235712499
"dgp29","coverage","weighting",2,"linear_basic","linear_basic",1
"dgp29","ate_estimate","weighting",3,"linear_basic","linear_basic",4.46058807433843
"dgp29","ate_bias","weighting",3,"linear_basic","linear_basic",-0.460588074338431
"dgp29","ci_length","weighting",3,"linear_basic","linear_basic",1.5681879186696
"dgp29","coverage","weighting",3,"linear_basic","linear_basic",1
"dgp29","ate_estimate","weighting",4,"linear_basic","linear_basic",3.44279443988472
"dgp29","ate_bias","weighting",4,"linear_basic","linear_basic",0.55720556011528
"dgp29","ci_length","weighting",4,"linear_basic","linear_basic",1.56682076672525
"dgp29","coverage","weighting",4,"linear_basic","linear_basic",1
"dgp29","ate_estimate","weighting",5,"linear_basic","linear_basic",3.92492580659862
"dgp29","ate_bias","weighting",5,"linear_basic","linear_basic",0.0750741934013792
"dgp29","ci_length","weighting",5,"linear_basic","linear_basic",1.7388632618772
"dgp29","coverage","weighting",5,"linear_basic","linear_basic",1
"dgp29","ate_estimate","weighting",6,"linear_basic","linear_basic",3.65766435972518
"dgp29","ate_bias","weighting",6,"linear_basic","linear_basic",0.342335640274821
"dgp29","ci_length","weighting",6,"linear_basic","linear_basic",1.69125330681575
"dgp29","coverage","weighting",6,"linear_basic","linear_basic",1
"dgp29","ate_estimate","weighting",7,"linear_basic","linear_basic",4.52386408715549
"dgp29","ate_bias","weighting",7,"linear_basic","linear_basic",-0.523864087155487
"dgp29","ci_length","weighting",7,"linear_basic","linear_basic",1.60195435644731
"dgp29","coverage","weighting",7,"linear_basic","linear_basic",1
"dgp29","ate_estimate","weighting",8,"linear_basic","linear_basic",4.85743312316139
"dgp29","ate_bias","weighting",8,"linear_basic","linear_basic",-0.857433123161391
"dgp29","ci_length","weighting",8,"linear_basic","linear_basic",1.51116152803247
"dgp29","coverage","weighting",8,"linear_basic","linear_basic",0
"dgp29","ate_estimate","weighting",9,"linear_basic","linear_basic",4.31006563132614
"dgp29","ate_bias","weighting",9,"linear_basic","linear_basic",-0.310065631326137
"dgp29","ci_length","weighting",9,"linear_basic","linear_basic",1.5969616705107
"dgp29","coverage","weighting",9,"linear_basic","linear_basic",1
"dgp29","ate_estimate","weighting",10,"linear_basic","linear_basic",3.08029480391522
"dgp29","ate_bias","weighting",10,"linear_basic","linear_basic",0.919705196084776
"dgp29","ci_length","weighting",10,"linear_basic","linear_basic",1.6247372181315
"dgp29","coverage","weighting",10,"linear_basic","linear_basic",0
"dgp29","ate_estimate","weighting",11,"linear_basic","linear_basic",4.80929223556737
"dgp29","ate_bias","weighting",11,"linear_basic","linear_basic",-0.809292235567369
"dgp29","ci_length","weighting",11,"linear_basic","linear_basic",1.6066253750163
"dgp29","coverage","weighting",11,"linear_basic","linear_basic",0
"dgp29","ate_estimate","weighting",12,"linear_basic","linear_basic",3.69964631191341
"dgp29","ate_bias","weighting",12,"linear_basic","linear_basic",0.300353688086587
"dgp29","ci_length","weighting",12,"linear_basic","linear_basic",1.56533948713197
"dgp29","coverage","weighting",12,"linear_basic","linear_basic",1
"dgp29","ate_estimate","weighting",13,"linear_basic","linear_basic",3.55571558526409
"dgp29","ate_bias","weighting",13,"linear_basic","linear_basic",0.444284414735914
"dgp29","ci_length","weighting",13,"linear_basic","linear_basic",1.5331758126538
"dgp29","coverage","weighting",13,"linear_basic","linear_basic",1
"dgp29","ate_estimate","weighting",14,"linear_basic","linear_basic",3.94696255676215
"dgp29","ate_bias","weighting",14,"linear_basic","linear_basic",0.0530374432378542
"dgp29","ci_length","weighting",14,"linear_basic","linear_basic",1.59281260696695
"dgp29","coverage","weighting",14,"linear_basic","linear_basic",1
"dgp29","ate_estimate","weighting",15,"linear_basic","linear_basic",4.58120968503715
"dgp29","ate_bias","weighting",15,"linear_basic","linear_basic",-0.581209685037149
"dgp29","ci_length","weighting",15,"linear_basic","linear_basic",1.54949613119657
"dgp29","coverage","weighting",15,"linear_basic","linear_basic",1
"dgp29","ate_estimate","weighting",16,"linear_basic","linear_basic",4.54990509381902
"dgp29","ate_bias","weighting",16,"linear_basic","linear_basic",-0.549905093819022
"dgp29","ci_length","weighting",16,"linear_basic","linear_basic",1.57405969414009
"dgp29","coverage","weighting",16,"linear_basic","linear_basic",1
"dgp29","ate_estimate","weighting",17,"linear_basic","linear_basic",3.82707247239297
"dgp29","ate_bias","weighting",17,"linear_basic","linear_basic",0.172927527607031
"dgp29","ci_length","weighting",17,"linear_basic","linear_basic",1.53344156198485
"dgp29","coverage","weighting",17,"linear_basic","linear_basic",1
"dgp29","ate_estimate","weighting",18,"linear_basic","linear_basic",3.71637675740514
"dgp29","ate_bias","weighting",18,"linear_basic","linear_basic",0.283623242594859
"dgp29","ci_length","weighting",18,"linear_basic","linear_basic",1.54360662629564
