"metric","model","dgp","mean_value","sd_y","value"
"ate_bias","BART_ps-bart","dgp29",0.360336170376201,NA,NA
"ate_bias","BART_ps-bart","dgp30",0.402653642415338,NA,NA
"ate_bias","BART_ps-bart","dgp31",0.325956321302213,NA,NA
"ate_bias","BART_ps-bart","dgp32",0.274957386184066,NA,NA
"ate_bias","BART_ps-bart","dgp37",0.166875303645224,NA,NA
"ate_bias","BART_ps-bart","dgp38",0.118739647188693,NA,NA
"ate_bias","BART_ps-bart","dgp39",0.295495058415336,NA,NA
"ate_bias","BART_ps-bart","dgp40",0.115507538003779,NA,NA
"ate_bias","BART_ps-bart","dgp57",0.069186365621451,NA,NA
"ate_bias","BART_ps-bart","dgp58",0.0884414557434202,NA,NA
"ate_bias","BART_ps-bart","dgp59",0.0692226276903004,NA,NA
"ate_bias","BART_ps-bart","dgp60",0.0711773944755223,NA,NA
"ate_bias","BART_ps-bart","dgp61",0.139940428246655,NA,NA
"ate_bias","BART_ps-bart","dgp62",0.169242759632196,NA,NA
"ate_bias","BART_ps-bart","dgp63",0.196123016648286,NA,NA
"ate_bias","BART_ps-bart","dgp64",0.134056386082835,NA,NA
"ate_bias","BART_ps-glm","dgp29",0.361633754120433,NA,NA
"ate_bias","BART_ps-glm","dgp30",0.466043122023373,NA,NA
"ate_bias","BART_ps-glm","dgp31",0.317642588952278,NA,NA
"ate_bias","BART_ps-glm","dgp32",0.266035199724193,NA,NA
"ate_bias","BART_ps-glm","dgp37",0.169512135481894,NA,NA
"ate_bias","BART_ps-glm","dgp38",0.115426786721036,NA,NA
"ate_bias","BART_ps-glm","dgp39",0.282252276473989,NA,NA
"ate_bias","BART_ps-glm","dgp40",0.11615966681549,NA,NA
"ate_bias","BART_ps-glm","dgp57",0.0680639383215203,NA,NA
"ate_bias","BART_ps-glm","dgp58",0.0878206008788186,NA,NA
"ate_bias","BART_ps-glm","dgp59",0.0690318058314367,NA,NA
"ate_bias","BART_ps-glm","dgp60",0.0713893982828437,NA,NA
"ate_bias","BART_ps-glm","dgp61",0.141692611165353,NA,NA
"ate_bias","BART_ps-glm","dgp62",0.169463905932355,NA,NA
"ate_bias","BART_ps-glm","dgp63",0.18928311833668,NA,NA
"ate_bias","BART_ps-glm","dgp64",0.130042893639223,NA,NA
"ate_bias","BART_s-learner","dgp29",0.36187154613759,NA,NA
"ate_bias","BART_s-learner","dgp30",0.468672753608118,NA,NA
"ate_bias","BART_s-learner","dgp31",0.317131697936734,NA,NA
"ate_bias","BART_s-learner","dgp32",0.263798783584222,NA,NA
"ate_bias","BART_s-learner","dgp37",0.171634036662958,NA,NA
"ate_bias","BART_s-learner","dgp38",0.112167398167523,NA,NA
"ate_bias","BART_s-learner","dgp39",0.264084921046494,NA,NA
"ate_bias","BART_s-learner","dgp40",0.114601514561201,NA,NA
"ate_bias","BART_s-learner","dgp57",0.0671442547907464,NA,NA
"ate_bias","BART_s-learner","dgp58",0.0872599027226724,NA,NA
"ate_bias","BART_s-learner","dgp59",0.0688364212408247,NA,NA
"ate_bias","BART_s-learner","dgp60",0.073276008273186,NA,NA
"ate_bias","BART_s-learner","dgp61",0.139771756484581,NA,NA
"ate_bias","BART_s-learner","dgp62",0.16859926000134,NA,NA
"ate_bias","BART_s-learner","dgp63",0.18882171224072,NA,NA
"ate_bias","BART_s-learner","dgp64",0.129152001192447,NA,NA
"ate_bias","BART_t-learner","dgp29",0.376809614377516,NA,NA
"ate_bias","BART_t-learner","dgp30",0.851109227381427,NA,NA
"ate_bias","BART_t-learner","dgp31",0.31446608908955,NA,NA
"ate_bias","BART_t-learner","dgp32",0.267849082699256,NA,NA
"ate_bias","BART_t-learner","dgp37",0.223405726489887,NA,NA
"ate_bias","BART_t-learner","dgp38",0.151676198090109,NA,NA
"ate_bias","BART_t-learner","dgp39",0.284806879863477,NA,NA
"ate_bias","BART_t-learner","dgp40",0.221792719628493,NA,NA
"ate_bias","BART_t-learner","dgp57",0.0641604722687973,NA,NA
"ate_bias","BART_t-learner","dgp58",0.0911593454184914,NA,NA
"ate_bias","BART_t-learner","dgp59",0.0672979997602224,NA,NA
"ate_bias","BART_t-learner","dgp60",0.0664588569388231,NA,NA
"ate_bias","BART_t-learner","dgp61",0.15335419007842,NA,NA
"ate_bias","BART_t-learner","dgp62",0.203869626425025,NA,NA
"ate_bias","BART_t-learner","dgp63",0.176470555459251,NA,NA
"ate_bias","BART_t-learner","dgp64",0.132831602873663,NA,NA
"ate_bias","causal_forest","dgp29",0.380421006273165,NA,NA
"ate_bias","causal_forest","dgp30",0.788684161060683,NA,NA
"ate_bias","causal_forest","dgp31",0.399484812600632,NA,NA
"ate_bias","causal_forest","dgp32",0.281967087684553,NA,NA
"ate_bias","causal_forest","dgp37",0.432257529810064,NA,NA
"ate_bias","causal_forest","dgp38",0.125304965387791,NA,NA
"ate_bias","causal_forest","dgp39",0.733342445542715,NA,NA
"ate_bias","causal_forest","dgp40",0.35207530961187,NA,NA
"ate_bias","causal_forest","dgp57",0.0784609429250466,NA,NA
"ate_bias","causal_forest","dgp58",0.0843825887268481,NA,NA
"ate_bias","causal_forest","dgp59",0.0797855519550102,NA,NA
"ate_bias","causal_forest","dgp60",0.0790888876911692,NA,NA
"ate_bias","causal_forest","dgp61",0.16775740869704,NA,NA
"ate_bias","causal_forest","dgp62",0.184290918688628,NA,NA
"ate_bias","causal_forest","dgp63",0.17987023382366,NA,NA
"ate_bias","causal_forest","dgp64",0.121275337573693,NA,NA
"ate_bias","weighting","dgp29",0.35293866135433,NA,NA
"ate_bias","weighting","dgp30",11.9020200449249,NA,NA
"ate_bias","weighting","dgp31",0.414412213763265,NA,NA
"ate_bias","weighting","dgp32",0.271357117880917,NA,NA
"ate_bias","weighting","dgp37",0.137253025587286,NA,NA
"ate_bias","weighting","dgp38",0.145871198560308,NA,NA
"ate_bias","weighting","dgp39",0.267311925248475,NA,NA
"ate_bias","weighting","dgp40",0.29232549093135,NA,NA
"ate_bias","weighting","dgp57",0.0694199377201632,NA,NA
"ate_bias","weighting","dgp58",0.0894744019197361,NA,NA
"ate_bias","weighting","dgp59",0.078944845370341,NA,NA
"ate_bias","weighting","dgp60",0.0647177126750919,NA,NA
"ate_bias","weighting","dgp61",0.155516173447637,NA,NA
"ate_bias","weighting","dgp62",0.228435156145324,NA,NA
"ate_bias","weighting","dgp63",0.249808472816486,NA,NA
"ate_bias","weighting","dgp64",0.25057318307553,NA,NA
"ate_estimate","BART_ps-bart","dgp29",4.10565251355717,NA,NA
"ate_estimate","BART_ps-bart","dgp30",9.9974963797079,NA,NA
"ate_estimate","BART_ps-bart","dgp31",2.01864558962649,NA,NA
"ate_estimate","BART_ps-bart","dgp32",2.5156797296633,NA,NA
"ate_estimate","BART_ps-bart","dgp37",3.98233191867626,NA,NA
"ate_estimate","BART_ps-bart","dgp38",2.45863134392127,NA,NA
"ate_estimate","BART_ps-bart","dgp39",6.10412406994071,NA,NA
"ate_estimate","BART_ps-bart","dgp40",6.94608101754092,NA,NA
"ate_estimate","BART_ps-bart","dgp57",0.475680536803622,NA,NA
"ate_estimate","BART_ps-bart","dgp58",0.975238204859877,NA,NA
"ate_estimate","BART_ps-bart","dgp59",0.776935757359285,NA,NA
"ate_estimate","BART_ps-bart","dgp60",1.64383667847418,NA,NA
