"","dpg","iteration","discarded_ratio10","discarded_ratio5","discarded_max"
"1",29,1,0,0,0
"2",29,2,0,0,0
"3",29,3,0,0,0
"4",29,4,0,0,1
"5",29,5,0,0,0
"6",30,1,16,0,0
"7",30,2,0,0,0
"8",30,3,0,0,0
"9",30,4,0,0,0
"10",30,5,0,0,1
"11",31,1,0,0,0
"12",31,2,0,0,0
"13",31,3,0,0,0
"14",31,4,0,0,0
"15",31,5,0,0,0
"16",32,1,0,0,0
"17",32,2,0,0,0
"18",32,3,0,0,0
"19",32,4,0,0,0
"20",32,5,0,0,0
"21",37,1,28,0,3
"22",37,2,55,28,28
"23",37,3,4,0,9
"24",37,4,2,0,4
"25",37,5,44,0,8
"26",38,1,21,0,0
"27",38,2,49,0,0
"28",38,3,0,0,0
"29",38,4,18,0,0
"30",38,5,34,0,0
"31",39,1,161,102,115
"32",39,2,116,65,59
"33",39,3,146,92,90
"34",39,4,147,88,83
"35",39,5,125,79,70
"36",40,1,22,11,14
"37",40,2,17,7,14
"38",40,3,43,15,15
"39",40,4,86,42,16
"40",40,5,28,16,16
"41",57,1,0,0,0
"42",57,2,0,0,0
"43",57,3,0,0,0
"44",57,4,0,0,0
"45",57,5,0,0,0
"46",58,1,0,0,0
"47",58,2,0,0,0
"48",58,3,0,0,0
"49",58,4,0,0,0
"50",58,5,0,0,0
"51",59,1,0,0,0
"52",59,2,0,0,0
"53",59,3,0,0,0
"54",59,4,0,0,0
"55",59,5,0,0,0
"56",60,1,0,0,0
"57",60,2,0,0,5
"58",60,3,0,0,0
"59",60,4,0,0,0
"60",60,5,0,0,1
"61",61,1,0,0,0
"62",61,2,0,0,0
"63",61,3,0,0,0
"64",61,4,0,0,0
"65",61,5,0,0,0
"66",62,1,0,0,0
"67",62,2,0,0,0
"68",62,3,0,0,0
"69",62,4,0,0,0
"70",62,5,0,0,0
"71",63,1,0,0,1
"72",63,2,0,0,0
"73",63,3,0,0,0
"74",63,4,0,0,0
"75",63,5,0,0,0
"76",64,1,0,0,0
"77",64,2,0,0,0
"78",64,3,0,0,0
"79",64,4,0,0,0
"80",64,5,0,0,0
