"model","dgp","k","n_trees","nu","q","rmse","setting","ci_length","rmse.x","coverage","rmse.y","min_node_size","sample_fraction","mtry","ps_model"
"bart_ps-bart","dgp63",2,75,3,0.9,0.254950063123545,"default",0.993283813435713,NA,NA,NA,NA,NA,NA,NA
"bart_ps-glm","dgp63",2,75,3,0.9,0.241431493772496,"default",0.973246647232844,NA,NA,NA,NA,NA,NA,NA
"bart_s-learner","dgp63",2,75,3,0.9,0.224351799330763,"default",0.915673501663712,NA,NA,NA,NA,NA,NA,NA
"bart_t-learner","dgp63",2,75,3,0.9,0.209017967761962,"default",0.958740514057381,NA,NA,NA,NA,NA,NA,NA
"bart_ps-bart","dgp63",1,75,3,0.99,0.234896681324344,"tuned",1.05054583678389,0.234896681324344,1,0.234896681324344,NA,NA,NA,NA
"bart_ps-glm","dgp63",1,75,3,0.9,0.216106913629528,"tuned",0.996472938067704,0.216106913629528,1,0.216106913629528,NA,NA,NA,NA
"bart_s-learner","dgp63",1,75,10,0.75,0.197955829833547,"tuned",0.934828176205895,0.197955829833547,1,0.197955829833547,NA,NA,NA,NA
"bart_t-learner","dgp63",3,75,3,0.99,0.205328532529034,"tuned",0.918193270079093,0.205328532529034,0.95,0.205328532529034,NA,NA,NA,NA
"causal_forest",NA,NA,NA,NA,NA,0.288095759976772,"default",0.861168997703282,NA,NA,NA,5,0.5,26,NA
"causal_forest",NA,NA,NA,NA,NA,0.242387160659796,"tuned",0.733260652479717,0.242387160659796,0.8,0.242387160659796,50,0.3,10,NA
"iptw",NA,NA,NA,NA,NA,0.313389252523536,"default",0.887906371499059,NA,NA,NA,NA,NA,NA,"linear_basic"
"iptw",NA,NA,NA,NA,NA,0.309374429612125,"tuned",0.955705505518075,0.309374429612125,0.95,0.309374429612125,NA,NA,NA,"bart"
