"","dgp","metric","model","iteration","ps_model","regression_model","value"
"ate_estimate1","dgp29","ate_estimate","aiptw",1,"linear_basic","linear_basic",4.03376120192216
"ate_bias1","dgp29","ate_bias","aiptw",1,"linear_basic","linear_basic",-0.0337612019221636
"ci_length1","dgp29","ci_length","aiptw",1,"linear_basic","linear_basic",1.53838803459553
"is_covered1","dgp29","coverage","aiptw",1,"linear_basic","linear_basic",1
"ate_estimate2","dgp29","ate_estimate","aiptw",2,"linear_basic","linear_basic",4.13778188939851
"ate_bias2","dgp29","ate_bias","aiptw",2,"linear_basic","linear_basic",-0.137781889398512
"ci_length2","dgp29","ci_length","aiptw",2,"linear_basic","linear_basic",1.59415960259091
"is_covered2","dgp29","coverage","aiptw",2,"linear_basic","linear_basic",1
"ate_estimate3","dgp29","ate_estimate","aiptw",3,"linear_basic","linear_basic",4.44786652955146
"ate_bias3","dgp29","ate_bias","aiptw",3,"linear_basic","linear_basic",-0.447866529551455
"ci_length3","dgp29","ci_length","aiptw",3,"linear_basic","linear_basic",1.54434683939334
"is_covered3","dgp29","coverage","aiptw",3,"linear_basic","linear_basic",1
"ate_estimate4","dgp29","ate_estimate","aiptw",4,"linear_basic","linear_basic",3.52955863051532
"ate_bias4","dgp29","ate_bias","aiptw",4,"linear_basic","linear_basic",0.470441369484683
"ci_length4","dgp29","ci_length","aiptw",4,"linear_basic","linear_basic",1.52615174208146
"is_covered4","dgp29","coverage","aiptw",4,"linear_basic","linear_basic",1
"ate_estimate5","dgp29","ate_estimate","aiptw",5,"linear_basic","linear_basic",4.03678819844161
"ate_bias5","dgp29","ate_bias","aiptw",5,"linear_basic","linear_basic",-0.0367881984416147
"ci_length5","dgp29","ci_length","aiptw",5,"linear_basic","linear_basic",1.56012915708893
"is_covered5","dgp29","coverage","aiptw",5,"linear_basic","linear_basic",1
"ate_estimate6","dgp29","ate_estimate","aiptw",6,"linear_basic","linear_basic",3.75239114032596
"ate_bias6","dgp29","ate_bias","aiptw",6,"linear_basic","linear_basic",0.247608859674036
"ci_length6","dgp29","ci_length","aiptw",6,"linear_basic","linear_basic",1.62162600335684
"is_covered6","dgp29","coverage","aiptw",6,"linear_basic","linear_basic",1
"ate_estimate7","dgp29","ate_estimate","aiptw",7,"linear_basic","linear_basic",4.59595400026357
"ate_bias7","dgp29","ate_bias","aiptw",7,"linear_basic","linear_basic",-0.595954000263575
"ci_length7","dgp29","ci_length","aiptw",7,"linear_basic","linear_basic",1.57668245981803
"is_covered7","dgp29","coverage","aiptw",7,"linear_basic","linear_basic",1
"ate_estimate8","dgp29","ate_estimate","aiptw",8,"linear_basic","linear_basic",4.82417282451946
"ate_bias8","dgp29","ate_bias","aiptw",8,"linear_basic","linear_basic",-0.824172824519461
"ci_length8","dgp29","ci_length","aiptw",8,"linear_basic","linear_basic",1.51075756674212
"is_covered8","dgp29","coverage","aiptw",8,"linear_basic","linear_basic",0
"ate_estimate9","dgp29","ate_estimate","aiptw",9,"linear_basic","linear_basic",4.22855208790435
