"","dgp","model","ate_bias","ate_estimate","ci_length","coverage"
"1","dgp29","aiptw",-0.0356136056995174,4.03561360569952,1.54427092563003,0.92
"2","dgp30","aiptw",-11.9450207382163,21.9450207382163,2.27831868537192,0
"3","dgp31","aiptw",-0.0223165303880891,2.02231653038809,1.62909149321493,0.95
"4","dgp32","aiptw",0.0025620341589789,2.52482837343243,1.33053552115853,0.98
"5","dgp37","aiptw",-0.00511725396820956,4.00511725396821,0.54391254522686,0.91
"6","dgp38","aiptw",-0.0248180390520787,2.52481803905208,0.455877782777683,0.86
"7","dgp39","aiptw",0.101037888913822,6.16925813368996,1.51477258441032,0.95
"8","dgp40","aiptw",-0.252664537099415,7.21464944450496,0.907170983113672,0.77
"9","dgp57","aiptw",0.00102622216033152,0.498973777839668,0.356688935189816,0.96
"10","dgp58","aiptw",0.0172990043671068,0.982700995632893,0.387750837670926,0.92
"11","dgp59","aiptw",0.00332372549262082,-0.803323725492621,0.374781175754201,0.97
"12","dgp60","aiptw",0.0158294624986846,1.67041884903752,0.305782281101525,0.93
"13","dgp61","aiptw",-0.0338837790640007,2.033883779064,0.84797580438961,0.98
"14","dgp62","aiptw",-0.117108232765243,2.11710823276524,0.865013888490747,0.93
"15","dgp63","aiptw",0.0086368820158088,-2.00863688201581,0.798919290960785,0.88
"16","dgp64","aiptw",-0.221831265842678,3.84683126584268,0.750099388871587,0.81
