"","model","dgp","rmse_rel","coverage","ci_length_rel"
"1","BART_ps-bart","dgp29",0.108,0.94,0.382
"2","BART_ps-bart","dgp30",0.049,0.94,0.186
"3","BART_ps-bart","dgp31",0.202,0.95,0.806
"4","BART_ps-bart","dgp32",0.128,0.97,0.543
"5","BART_ps-bart","dgp37",0.051,0.97,0.202
"6","BART_ps-bart","dgp38",0.059,0.99,0.236
"7","BART_ps-bart","dgp39",0.058,0.77,0.153
"8","BART_ps-bart","dgp40",0.02,0.96,0.078
"9","BART_ps-bart","dgp57",0.173,0.94,0.713
"10","BART_ps-bart","dgp58",0.11,0.94,0.397
"11","BART_ps-bart","dgp59",0.11,0.96,0.474
"12","BART_ps-bart","dgp60",0.053,0.9,0.181
"13","BART_ps-bart","dgp61",0.088,0.98,0.42
"14","BART_ps-bart","dgp62",0.105,0.95,0.44
"15","BART_ps-bart","dgp63",0.129,0.94,0.492
"16","BART_ps-bart","dgp64",0.046,0.93,0.173
"17","BART_ps-glm","dgp29",0.109,0.92,0.381
"18","BART_ps-glm","dgp30",0.058,0.86,0.181
"19","BART_ps-glm","dgp31",0.196,0.95,0.799
"20","BART_ps-glm","dgp32",0.124,0.99,0.529
"21","BART_ps-glm","dgp37",0.052,0.95,0.199
"22","BART_ps-glm","dgp38",0.057,0.98,0.23
"23","BART_ps-glm","dgp39",0.056,0.81,0.151
"24","BART_ps-glm","dgp40",0.02,0.95,0.077
"25","BART_ps-glm","dgp57",0.17,0.95,0.71
"26","BART_ps-glm","dgp58",0.109,0.92,0.394
"27","BART_ps-glm","dgp59",0.109,0.98,0.469
"28","BART_ps-glm","dgp60",0.053,0.9,0.18
"29","BART_ps-glm","dgp61",0.088,0.98,0.417
"30","BART_ps-glm","dgp62",0.105,0.96,0.435
"31","BART_ps-glm","dgp63",0.125,0.94,0.485
"32","BART_ps-glm","dgp64",0.044,0.93,0.171
"33","BART_s-learner","dgp29",0.109,0.9,0.38
"34","BART_s-learner","dgp30",0.058,0.84,0.181
"35","BART_s-learner","dgp31",0.193,0.95,0.764
"36","BART_s-learner","dgp32",0.124,0.99,0.528
"37","BART_s-learner","dgp37",0.052,0.96,0.199
"38","BART_s-learner","dgp38",0.056,0.97,0.225
"39","BART_s-learner","dgp39",0.053,0.83,0.145
"40","BART_s-learner","dgp40",0.02,0.94,0.077
"41","BART_s-learner","dgp57",0.168,0.95,0.706
"42","BART_s-learner","dgp58",0.107,0.93,0.392
"43","BART_s-learner","dgp59",0.109,0.94,0.458
"44","BART_s-learner","dgp60",0.054,0.89,0.179
"45","BART_s-learner","dgp61",0.087,0.98,0.413
"46","BART_s-learner","dgp62",0.105,0.96,0.429
"47","BART_s-learner","dgp63",0.12,0.96,0.459
"48","BART_s-learner","dgp64",0.044,0.94,0.17
"49","BART_t-learner","dgp29",0.116,0.91,0.392
"50","BART_t-learner","dgp30",0.102,0.6,0.203
"51","BART_t-learner","dgp31",0.194,0.98,0.79
"52","BART_t-learner","dgp32",0.124,0.99,0.532
"53","BART_t-learner","dgp37",0.07,0.88,0.23
"54","BART_t-learner","dgp38",0.074,0.85,0.222
"55","BART_t-learner","dgp39",0.057,0.83,0.158
"56","BART_t-learner","dgp40",0.038,0.73,0.086
"57","BART_t-learner","dgp57",0.163,0.96,0.704
"58","BART_t-learner","dgp58",0.111,0.92,0.404
"59","BART_t-learner","dgp59",0.106,0.95,0.453
"60","BART_t-learner","dgp60",0.049,0.92,0.178
"61","BART_t-learner","dgp61",0.1,0.95,0.418
"62","BART_t-learner","dgp62",0.124,0.95,0.434
"63","BART_t-learner","dgp63",0.115,0.94,0.48
"64","BART_t-learner","dgp64",0.046,0.93,0.167
"65","causal_forest","dgp29",0.116,0.92,0.414
"66","causal_forest","dgp30",0.093,0.65,0.195
"67","causal_forest","dgp31",0.248,0.92,0.904
"68","causal_forest","dgp32",0.132,0.97,0.527
"69","causal_forest","dgp37",0.149,0.92,0.494
"70","causal_forest","dgp38",0.062,0.89,0.211
"71","causal_forest","dgp39",0.145,0.93,0.505
"72","causal_forest","dgp40",0.069,0.98,0.259
"73","causal_forest","dgp57",0.194,0.95,0.712
"74","causal_forest","dgp58",0.104,0.92,0.366
"75","causal_forest","dgp59",0.123,0.92,0.438
"76","causal_forest","dgp60",0.058,0.88,0.18
"77","causal_forest","dgp61",0.105,0.97,0.415
"78","causal_forest","dgp62",0.114,0.93,0.417
"79","causal_forest","dgp63",0.118,0.9,0.427
"80","causal_forest","dgp64",0.042,0.95,0.17
"81","aiptw","dgp29",0.107,0.92,0.386
"82","aiptw","dgp30",1.196,0,0.228
"83","aiptw","dgp31",0.219,0.95,0.815
"84","aiptw","dgp32",0.127,0.98,0.526
"85","aiptw","dgp37",0.039,0.91,0.136
"86","aiptw","dgp38",0.059,0.86,0.182
"87","aiptw","dgp39",0.053,0.95,0.242
"88","aiptw","dgp40",0.051,0.77,0.13
"89","aiptw","dgp57",0.174,0.96,0.713
"90","aiptw","dgp58",0.11,0.92,0.388
"91","aiptw","dgp59",0.115,0.97,0.468
"92","aiptw","dgp60",0.048,0.93,0.181
"93","aiptw","dgp61",0.094,0.98,0.424
"94","aiptw","dgp62",0.127,0.93,0.433
"95","aiptw","dgp63",0.13,0.88,0.399
"96","aiptw","dgp64",0.083,0.81,0.207
